name;type;L;ANGLE;K1;K2;K3;E1;E2;N_SLICES
BPM;MONI;;;;;;;;
DL1A_1;CSBEND;0.4178279443301234;0.0023391941346895;;;;-0.01020495408;0.01268495408;5.0
DL1A_2;CSBEND;0.4178280841284446;0.0032191941346895;;;;-0.00684495408;0.01020495408;5.0
DL1A_3;CSBEND;0.4178282753284344;0.0041391941346895;;;;-0.00256495408;0.00684495408;5.0
DL1A_4;CSBEND;0.4178286423213368;0.0054991941346895;;;;0.00307504592;0.00256495408;5.0
DL1A_5;CSBEND;0.4178302891796566;0.0094691022946895;;;;0.01268495408;-0.00307504592;5.0
DL1E_1;CSBEND;0.4178279443301234;0.0023391941346895;;;;0.01268495408;-0.01020495408;5.0
DL1E_2;CSBEND;0.4178280841284446;0.0032191941346895;;;;0.01020495408;-0.00684495408;5.0
DL1E_3;CSBEND;0.4178282753284344;0.0041391941346895;;;;0.00684495408;-0.00256495408;5.0
DL1E_4;CSBEND;0.4178286423213368;0.0054991941346895;;;;0.00256495408;0.00307504592;5.0
DL1E_5;CSBEND;0.4178302891796566;0.0094691022946895;;;;-0.00307504592;0.01268495408;5.0
DL2B_1;CSBEND;0.4178279443301234;0.0023391941346895;;;;0.01176495408;-0.00928495408;5.0
DL2B_2;CSBEND;0.4178280841284446;0.0032191941346895;;;;0.00928495408;-0.00592495408;5.0
DL2B_3;CSBEND;0.4178282753284344;0.0041391941346895;;;;0.00592495408;-0.00164495408;5.0
DL2B_4;CSBEND;0.4178286423213368;0.0054991941346895;;;;0.00164495408;0.00399504592;5.0
DL2B_5;CSBEND;0.4178294192740687;0.0076291022946895;;;;-0.00399504592;0.01176495408;5.0
DL2D_1;CSBEND;0.4178279443301234;0.0023391941346895;;;;-0.00928495408;0.01176495408;5.0
DL2D_2;CSBEND;0.4178280841284446;0.0032191941346895;;;;-0.00592495408;0.00928495408;5.0
DL2D_3;CSBEND;0.4178282753284344;0.0041391941346895;;;;-0.00164495408;0.00592495408;5.0
DL2D_4;CSBEND;0.4178286423213368;0.0054991941346895;;;;0.00399504592;0.00164495408;5.0
DL2D_5;CSBEND;0.4178294192740687;0.0076291022946895;;;;0.01176495408;-0.00399504592;5.0
DMB;EDRIFT;0.0705;;;;;;;
